age,study_hours,attendance_percentage,math_score,science_score,english_score,overall_score,travel_time_min,gender_male,gender_other,school_type_encoded,parent_education_encoded,internet_access_encoded,extra_activities_encoding,study_method_group_study,study_method_mixed,study_method_notes,study_method_online_videos,study_method_textbook,final_grade_encoded
17,7.5,84.9,83.4,81.5,79.5,86.2,75.0,0,1,0,4.0,0,1,0,0,0,0,1,1
14,5.3,76.6,67.8,81.5,67.3,76.9,22.5,0,0,1,0.0,1,0,0,0,0,1,0,2
18,2.0,87.4,39.8,40.9,59.9,41.1,22.5,0,1,0,3.0,1,0,0,0,0,1,0,4
18,2.8,52.5,51.3,48.7,53.4,46.2,75.0,1,0,1,1.0,1,1,0,0,1,0,0,4
19,4.5,66.8,69.7,61.7,53.0,65.1,22.5,0,1,0,2.0,1,0,0,1,0,0,0,3
18,7.1,66.8,78.9,63.1,83.9,85.8,75.0,1,0,1,4.0,1,0,0,0,0,1,0,1
16,6.5,79.8,76.1,61.2,76.7,77.4,45.0,0,1,1,0.0,1,1,0,0,0,0,0,2
19,2.8,60.4,62.7,65.5,47.6,54.9,45.0,1,0,0,4.0,1,1,1,0,0,0,0,4
16,5.7,76.6,84.1,83.3,88.2,80.9,45.0,1,0,1,1.0,1,0,1,0,0,0,0,2
15,0.5,99.0,32.1,28.5,38.0,39.2,75.0,0,0,0,4.0,1,0,0,0,1,0,0,5
19,3.0,52.2,33.8,45.9,47.3,46.9,7.5,0,1,1,4.0,1,1,0,0,1,0,0,4
16,6.8,75.2,57.3,100.0,71.8,82.4,7.5,1,0,0,0.0,0,1,0,0,0,1,0,2
14,1.6,56.9,54.0,34.8,35.3,40.8,22.5,1,0,1,1.0,1,1,1,0,0,0,0,4
16,3.2,79.1,80.1,57.2,47.2,57.1,22.5,0,0,1,4.0,1,0,0,0,1,0,0,3
18,0.5,62.0,32.0,30.9,51.4,24.6,22.5,0,1,0,2.0,0,0,1,0,0,0,0,5
15,0.7,95.1,41.4,43.6,23.8,50.0,7.5,0,1,0,2.0,1,1,1,0,0,0,0,4
16,1.6,65.9,33.9,62.8,30.7,37.1,45.0,0,0,1,0.0,1,1,0,0,0,0,0,5
14,1.3,97.9,53.1,58.0,59.5,59.5,7.5,0,0,1,4.0,1,1,1,0,0,0,0,3
18,4.2,50.2,48.3,63.2,46.5,51.5,45.0,0,0,1,0.0,0,1,1,0,0,0,0,4
16,7.3,91.6,99.6,100.0,99.1,96.4,75.0,0,1,0,1.0,1,1,0,0,0,1,0,0
15,1.1,63.1,36.6,40.0,23.7,32.0,75.0,1,0,1,2.0,0,1,1,0,0,0,0,5
15,7.0,60.1,71.2,87.5,84.0,80.7,7.5,1,0,0,4.0,1,1,1,0,0,0,0,2
17,5.5,94.2,94.7,75.8,100.0,91.5,7.5,1,0,1,2.0,1,1,1,0,0,0,0,1
18,1.8,65.2,5.9,19.0,12.8,32.7,22.5,1,0,1,5.0,0,0,0,1,0,0,0,5
19,2.7,79.2,74.0,75.2,54.3,59.6,45.0,0,0,1,3.0,1,1,0,0,0,0,1,3
16,2.0,86.8,44.8,48.9,54.0,58.5,22.5,0,1,0,1.0,1,0,0,1,0,0,0,3
14,6.4,71.0,83.6,100.0,98.5,83.0,7.5,0,0,0,1.0,1,0,0,1,0,0,0,2
18,5.9,55.1,74.1,55.2,72.0,69.1,7.5,0,0,1,4.0,0,0,1,0,0,0,0,3
17,2.8,96.1,63.8,57.9,53.0,61.7,7.5,1,0,0,2.0,1,1,0,0,1,0,0,3
18,0.9,82.4,49.0,45.7,45.0,43.9,75.0,0,0,0,3.0,1,0,0,0,0,1,0,4
14,1.8,94.6,74.3,57.7,46.7,61.3,75.0,1,0,0,2.0,1,1,0,0,0,1,0,3
15,5.2,88.4,67.7,81.7,89.5,73.9,75.0,0,1,1,1.0,0,1,0,0,0,0,1,2
18,1.2,88.7,55.6,73.1,57.4,53.4,45.0,0,0,0,3.0,0,1,0,0,1,0,0,4
18,4.5,79.5,57.0,56.1,62.6,63.4,7.5,0,0,1,1.0,1,0,1,0,0,0,0,3
16,5.1,50.3,71.3,50.2,63.1,59.9,45.0,0,1,0,5.0,1,0,1,0,0,0,0,3
18,5.7,94.1,80.5,86.2,79.4,82.0,45.0,1,0,1,4.0,1,1,0,0,0,0,1,2
19,1.4,91.5,40.0,46.1,31.2,41.3,45.0,0,0,0,4.0,1,1,1,0,0,0,0,4
16,3.9,86.4,57.3,49.7,54.7,59.5,45.0,0,0,0,1.0,0,0,0,0,0,1,0,3
19,4.0,93.9,80.2,93.9,87.6,76.8,7.5,1,0,1,0.0,1,0,1,0,0,0,0,2
15,6.8,59.2,86.9,79.9,88.2,87.9,45.0,1,0,0,0.0,1,0,0,0,1,0,0,1
15,4.0,64.1,65.6,73.9,70.1,66.6,75.0,1,0,0,5.0,1,1,1,0,0,0,0,3
18,3.6,57.9,42.3,46.6,57.5,46.2,22.5,1,0,1,5.0,1,0,1,0,0,0,0,4
17,1.4,82.3,37.2,50.4,48.3,39.9,22.5,0,1,1,4.0,1,0,0,0,0,0,0,5
14,5.7,71.9,67.8,57.0,61.6,66.9,7.5,1,0,1,3.0,0,0,1,0,0,0,0,3
18,5.1,55.1,76.8,73.0,74.8,66.8,45.0,1,0,0,1.0,1,1,0,0,0,0,1,3
15,5.9,78.8,72.3,48.8,70.5,68.8,7.5,0,1,1,4.0,1,1,0,0,0,0,0,3
18,5.4,66.9,68.7,72.3,64.8,73.5,45.0,0,0,0,3.0,1,1,0,1,0,0,0,2
14,7.1,74.5,77.9,75.6,89.0,81.9,45.0,0,1,1,3.0,1,0,0,0,0,1,0,2
18,7.1,63.1,100.0,90.8,96.0,86.4,22.5,0,1,1,0.0,1,1,0,0,1,0,0,1
18,2.8,58.1,24.0,58.0,23.3,39.3,22.5,1,0,1,3.0,1,0,1,0,0,0,0,5
18,1.9,72.5,39.3,44.8,42.7,52.9,7.5,0,0,1,4.0,1,1,0,0,0,0,1,4
17,7.4,61.3,68.3,78.7,66.9,75.9,45.0,1,0,1,4.0,0,1,0,0,0,0,1,2
16,5.8,70.3,71.6,60.4,85.2,65.2,7.5,0,0,0,0.0,1,0,0,1,0,0,0,3
18,7.8,69.1,73.4,96.5,74.7,82.4,45.0,0,1,1,0.0,0,0,0,0,0,1,0,2
15,4.2,97.0,58.0,71.2,49.0,67.3,45.0,0,1,1,5.0,1,1,0,0,0,1,0,3
18,7.7,59.3,98.5,85.1,76.7,88.9,45.0,0,1,1,1.0,1,1,0,0,0,1,0,1
17,1.4,64.3,21.1,43.7,43.6,35.7,75.0,1,0,0,2.0,1,0,1,0,0,0,0,5
16,4.9,89.6,81.1,63.6,67.7,74.2,45.0,1,0,1,3.0,1,1,1,0,0,0,0,2
17,4.2,64.8,73.7,64.0,52.8,61.3,22.5,0,0,0,2.0,1,1,0,1,0,0,0,3
17,0.5,74.0,44.4,35.1,20.1,37.1,7.5,1,0,1,5.0,1,0,0,0,0,0,1,5
14,1.9,88.1,57.0,61.8,63.6,54.8,22.5,0,0,1,5.0,1,0,0,1,0,0,0,4
14,1.7,50.2,39.2,12.8,40.9,32.1,45.0,0,1,1,2.0,0,1,0,0,0,0,0,5
15,1.0,97.8,65.9,32.0,41.9,39.6,22.5,1,0,1,1.0,1,1,0,1,0,0,0,5
14,7.6,73.1,82.3,79.1,72.6,81.9,22.5,0,1,0,5.0,1,0,0,0,0,1,0,2
16,7.7,88.0,92.4,76.4,86.1,92.0,45.0,0,1,0,4.0,1,0,1,0,0,0,0,1
18,7.2,96.0,100.0,71.6,83.4,89.4,7.5,0,1,0,4.0,1,0,0,0,1,0,0,1
17,7.9,93.8,92.7,100.0,95.8,98.4,75.0,1,0,1,2.0,1,1,0,0,0,0,0,0
16,6.7,61.0,85.3,86.2,80.0,87.8,75.0,1,0,1,2.0,1,0,1,0,0,0,0,1
19,7.5,77.8,100.0,100.0,76.9,87.1,7.5,1,0,1,1.0,0,0,0,1,0,0,0,1
17,2.0,70.5,62.7,52.9,52.8,53.1,75.0,1,0,1,2.0,0,0,1,0,0,0,0,4
14,2.4,76.6,40.3,64.6,67.1,52.7,45.0,1,0,1,3.0,0,0,0,0,1,0,0,4
18,7.0,89.0,83.8,71.4,71.2,82.6,75.0,0,0,0,0.0,1,0,0,1,0,0,0,2
17,4.1,67.7,72.3,71.7,66.9,65.0,75.0,1,0,1,3.0,1,0,0,0,0,1,0,3
17,5.9,73.9,80.4,66.8,92.5,81.1,22.5,1,0,1,3.0,1,1,0,0,0,0,1,2
17,4.7,80.4,72.7,78.1,75.3,73.8,75.0,0,1,0,5.0,1,1,0,0,0,1,0,2
17,2.8,63.5,27.5,63.3,41.9,40.6,75.0,0,1,1,0.0,1,0,0,1,0,0,0,4
14,2.6,80.3,49.8,39.9,35.2,43.3,45.0,0,1,1,1.0,1,1,1,0,0,0,0,4
17,6.1,57.4,99.2,81.5,86.3,78.3,22.5,1,0,1,2.0,1,0,1,0,0,0,0,2
18,4.5,81.1,77.4,70.7,84.0,73.4,7.5,0,0,1,5.0,1,0,0,0,0,0,0,2
15,3.2,57.2,59.8,53.9,63.5,50.1,22.5,0,0,1,1.0,1,1,0,1,0,0,0,4
17,5.1,88.8,72.8,80.9,87.6,81.6,22.5,1,0,0,5.0,0,1,0,0,0,0,1,2
14,3.6,59.7,43.6,78.1,50.4,54.2,22.5,0,1,0,5.0,0,0,0,0,0,0,0,4
16,4.1,82.3,59.7,71.3,67.0,67.6,75.0,0,0,1,0.0,1,0,0,0,0,0,1,3
16,5.6,79.1,88.7,76.9,76.4,85.7,45.0,0,1,0,2.0,1,1,0,1,0,0,0,1
19,3.9,71.3,53.8,46.4,54.2,52.6,22.5,1,0,1,1.0,1,0,0,1,0,0,0,4
15,7.6,82.3,73.5,100.0,92.8,89.7,7.5,0,0,0,2.0,1,1,1,0,0,0,0,1
15,4.1,92.3,58.5,59.0,66.5,62.0,45.0,1,0,1,5.0,1,1,0,0,0,1,0,3
16,7.7,56.0,79.1,91.3,92.0,78.7,7.5,0,1,1,2.0,1,0,0,1,0,0,0,2
19,6.9,83.8,99.1,100.0,96.2,95.6,45.0,0,0,1,3.0,0,0,1,0,0,0,0,0
19,7.2,70.5,90.9,86.7,82.9,90.2,22.5,1,0,0,0.0,1,1,0,0,0,0,1,1
14,6.2,83.7,93.3,78.5,82.8,84.5,45.0,1,0,1,3.0,0,1,0,1,0,0,0,2
15,5.0,93.8,58.1,77.1,74.9,71.7,22.5,0,0,1,2.0,1,1,0,0,0,0,0,2
18,4.5,82.6,87.0,58.0,76.3,68.7,7.5,1,0,0,5.0,1,1,0,0,0,0,1,3
14,4.6,58.0,41.0,73.1,57.3,61.2,22.5,1,0,1,4.0,1,0,1,0,0,0,0,3
19,2.0,70.8,47.8,30.8,32.8,36.9,45.0,0,1,0,1.0,1,0,1,0,0,0,0,5
15,2.1,77.5,52.8,37.9,45.6,39.3,45.0,0,1,1,3.0,1,0,1,0,0,0,0,5
19,0.8,56.3,12.8,26.2,14.7,22.6,75.0,0,0,0,2.0,1,0,0,0,1,0,0,5
15,6.1,82.2,100.0,91.6,92.1,87.5,7.5,0,1,1,2.0,1,1,0,1,0,0,0,1
16,1.4,85.7,45.4,37.1,55.7,46.8,45.0,0,0,1,2.0,1,1,0,1,0,0,0,4
17,4.9,88.1,75.8,57.7,77.6,77.5,45.0,1,0,1,4.0,1,0,0,0,0,0,0,2
14,1.5,56.0,35.6,20.4,33.1,26.5,7.5,0,1,1,1.0,1,0,0,0,0,0,0,5
17,1.0,85.3,39.8,41.5,27.9,38.4,22.5,1,0,1,0.0,0,0,0,1,0,0,0,5
17,4.5,68.3,53.4,67.8,55.6,58.1,7.5,0,1,1,1.0,1,0,0,0,0,0,0,3
18,7.0,60.6,82.7,71.7,77.0,86.0,7.5,0,0,0,4.0,1,1,1,0,0,0,0,1
19,3.2,76.2,51.0,48.2,54.2,48.9,22.5,1,0,1,1.0,0,0,1,0,0,0,0,4
17,7.4,78.6,80.1,69.3,61.2,86.0,7.5,1,0,0,0.0,1,0,0,0,0,1,0,1
16,0.6,72.8,43.3,13.9,45.8,37.8,45.0,0,1,1,2.0,1,1,1,0,0,0,0,5
16,4.0,92.0,67.0,93.9,65.3,71.9,7.5,0,1,1,5.0,1,1,0,0,0,0,1,2
16,1.6,57.8,39.0,38.4,35.6,43.4,7.5,0,0,1,5.0,0,1,0,0,0,0,0,4
18,2.9,70.4,54.1,59.9,70.7,58.3,75.0,1,0,0,5.0,1,0,1,0,0,0,0,3
15,0.7,63.4,18.0,45.5,36.2,37.8,45.0,0,1,0,4.0,1,0,1,0,0,0,0,5
15,0.8,52.4,29.6,50.3,27.8,32.4,22.5,0,1,1,4.0,1,0,0,0,1,0,0,5
16,5.8,67.0,70.4,64.0,69.2,66.2,75.0,0,0,1,4.0,1,1,0,0,0,0,1,3
14,5.4,85.9,95.2,71.2,80.1,78.4,75.0,0,0,0,0.0,1,0,1,0,0,0,0,2
14,2.1,76.2,54.8,33.5,38.2,39.6,7.5,0,1,0,2.0,0,0,0,1,0,0,0,5
14,7.3,70.9,86.9,84.2,97.3,86.7,22.5,0,0,1,3.0,1,1,1,0,0,0,0,1
18,5.7,73.7,80.7,80.6,58.2,80.8,45.0,1,0,1,2.0,1,0,0,0,0,0,0,2
18,3.0,65.6,43.7,50.5,39.8,50.5,7.5,1,0,0,4.0,1,1,0,0,0,1,0,4
18,3.6,56.1,55.8,42.0,37.8,48.2,45.0,0,0,0,5.0,1,0,0,1,0,0,0,4
16,2.7,79.5,50.8,52.3,79.3,63.4,7.5,0,1,1,3.0,1,0,0,0,1,0,0,3
18,6.7,90.8,77.3,100.0,99.8,86.1,75.0,0,1,0,0.0,1,0,1,0,0,0,0,1
14,4.2,89.5,48.0,62.7,64.5,63.1,22.5,0,0,0,2.0,1,1,0,0,0,1,0,3
19,1.5,61.7,35.8,28.0,36.3,36.9,45.0,1,0,0,1.0,1,0,0,0,0,0,1,5
17,2.0,71.7,45.7,24.3,40.3,43.7,75.0,0,0,1,2.0,1,1,0,0,0,0,1,4
19,2.7,77.6,38.0,51.5,59.8,49.5,45.0,1,0,0,1.0,1,1,0,0,0,0,0,4
14,3.5,90.1,49.9,56.9,47.5,59.5,45.0,0,0,0,0.0,1,1,0,0,0,1,0,3
16,4.9,59.8,78.7,64.1,81.9,73.0,75.0,0,0,0,1.0,1,0,0,0,0,0,0,2
18,7.7,56.6,79.1,89.3,98.0,81.5,45.0,0,1,1,2.0,1,0,0,0,0,0,1,2
16,2.5,96.6,50.3,47.4,61.8,59.7,22.5,0,1,1,0.0,1,0,0,1,0,0,0,3
16,3.0,57.3,32.5,39.6,41.6,38.6,22.5,0,1,0,0.0,0,1,0,0,1,0,0,5
14,0.7,99.5,51.7,49.6,46.3,44.7,45.0,1,0,1,1.0,1,0,0,0,0,0,0,4
16,3.3,79.9,64.3,47.5,54.3,58.4,22.5,0,1,1,3.0,1,1,0,1,0,0,0,3
15,5.6,74.9,70.4,72.9,55.4,71.8,7.5,1,0,1,3.0,1,0,0,0,1,0,0,2
15,7.7,59.4,65.5,73.4,77.6,76.1,45.0,0,0,1,2.0,1,0,1,0,0,0,0,2
18,6.1,93.0,73.9,92.3,80.2,86.6,45.0,0,1,0,3.0,1,0,1,0,0,0,0,1
17,1.4,58.6,7.6,32.8,16.7,25.5,45.0,0,1,1,1.0,1,0,0,0,0,1,0,5
17,7.2,70.1,71.1,55.2,78.0,80.1,22.5,0,0,1,4.0,1,1,0,0,0,0,1,2
16,6.8,52.4,90.4,88.5,91.3,84.1,7.5,1,0,1,0.0,1,0,0,1,0,0,0,2
19,1.9,51.1,24.7,36.9,36.8,32.5,7.5,0,0,1,0.0,1,1,0,0,0,1,0,5
14,7.5,86.5,82.8,100.0,96.6,93.0,45.0,0,1,1,5.0,1,0,0,0,0,0,0,1
16,5.9,60.4,62.6,78.9,78.5,71.9,7.5,0,0,1,2.0,1,1,0,1,0,0,0,2
14,6.4,80.0,86.3,92.6,94.7,90.7,45.0,0,0,1,3.0,1,1,0,0,0,0,0,1
16,3.9,86.2,71.3,56.8,69.7,60.9,7.5,0,0,0,2.0,1,1,0,1,0,0,0,3
19,2.0,74.6,45.7,43.3,65.7,54.9,22.5,0,0,0,3.0,1,0,0,0,0,0,0,4
16,6.5,82.8,84.0,93.9,98.9,90.0,75.0,1,0,0,4.0,1,1,0,0,0,1,0,1
19,4.1,62.1,38.3,44.0,43.1,50.1,22.5,0,1,1,4.0,1,0,0,1,0,0,0,4
16,7.8,90.9,100.0,92.8,100.0,100.0,22.5,1,0,0,1.0,1,0,0,1,0,0,0,0
18,1.7,60.3,41.8,40.5,37.8,42.2,75.0,0,1,0,3.0,1,1,0,0,1,0,0,4
16,3.2,79.5,45.8,63.5,50.2,59.9,7.5,1,0,0,4.0,1,1,0,1,0,0,0,3
15,6.0,91.8,72.1,93.0,76.3,82.7,22.5,0,0,1,2.0,1,0,0,1,0,0,0,2
18,4.8,89.7,84.1,82.3,71.1,80.2,22.5,0,0,1,2.0,1,0,0,1,0,0,0,2
19,3.7,52.6,68.6,60.5,66.4,57.8,22.5,0,0,0,3.0,1,1,0,1,0,0,0,3
15,5.8,68.4,58.9,61.4,67.7,65.2,75.0,0,0,1,3.0,1,1,0,0,0,0,0,3
18,6.0,92.6,89.1,77.9,93.2,82.5,75.0,0,1,0,1.0,1,1,0,0,1,0,0,2
15,4.8,92.5,79.9,73.5,86.9,76.2,7.5,1,0,0,5.0,1,1,0,0,1,0,0,2
18,2.9,81.8,84.3,67.5,64.3,65.5,75.0,0,1,1,3.0,1,1,1,0,0,0,0,3
18,5.1,55.4,52.9,50.8,69.7,62.8,7.5,0,1,0,3.0,0,0,0,0,1,0,0,3
16,4.6,70.2,79.3,51.6,47.3,61.4,7.5,0,1,0,1.0,1,0,0,0,0,0,1,3
18,6.5,98.1,90.9,92.9,74.5,83.2,45.0,1,0,1,4.0,1,1,0,1,0,0,0,2
15,5.4,55.3,58.4,68.2,52.9,67.5,22.5,1,0,0,5.0,1,1,0,1,0,0,0,3
14,4.2,90.1,82.4,48.1,66.6,75.7,7.5,0,0,1,4.0,1,0,0,0,1,0,0,2
14,0.6,70.9,35.3,47.9,35.1,43.0,7.5,1,0,0,3.0,1,0,0,0,0,0,1,4
16,1.8,87.2,54.4,52.6,46.8,52.1,45.0,0,1,1,3.0,0,0,0,0,0,0,1,4
19,3.0,52.7,53.2,49.2,42.7,47.3,22.5,0,1,1,1.0,1,0,0,0,0,0,1,4
14,5.0,50.5,55.3,61.3,54.4,61.5,22.5,0,0,1,0.0,1,0,0,1,0,0,0,3
16,6.4,65.0,100.0,99.3,71.5,82.4,22.5,0,1,0,3.0,1,1,0,0,1,0,0,2
18,7.7,93.5,99.0,98.9,100.0,99.1,7.5,1,0,1,1.0,1,0,0,0,1,0,0,0
15,5.0,84.0,69.6,45.8,67.5,69.1,75.0,0,1,0,0.0,1,0,0,0,0,0,0,3
18,6.0,80.6,85.5,91.5,82.8,77.4,22.5,1,0,1,4.0,1,1,0,0,0,0,1,2
15,5.2,99.9,93.0,95.9,78.3,85.6,75.0,0,1,1,2.0,1,1,0,0,0,1,0,1
18,3.7,67.4,72.0,56.3,52.6,63.1,45.0,0,0,1,5.0,1,0,1,0,0,0,0,3
17,5.1,92.5,87.3,74.9,90.4,80.2,7.5,0,0,1,5.0,0,0,0,0,1,0,0,2
17,3.5,55.5,76.3,64.3,66.4,54.8,22.5,1,0,1,0.0,0,0,0,0,0,0,1,4
15,3.9,58.5,47.1,71.6,47.1,44.6,75.0,0,0,0,4.0,1,1,0,1,0,0,0,4
16,7.3,73.9,99.2,100.0,96.2,97.2,7.5,0,1,1,2.0,1,0,0,1,0,0,0,0
19,4.7,98.0,83.9,63.3,86.5,70.5,7.5,0,1,1,4.0,1,0,1,0,0,0,0,2
14,1.3,85.2,39.8,46.2,50.7,39.7,45.0,0,0,0,0.0,1,1,0,0,0,0,1,5
18,4.4,55.6,41.0,45.5,50.3,52.6,22.5,1,0,0,2.0,1,0,0,0,0,0,1,4
16,7.6,97.7,90.5,87.7,85.7,95.5,45.0,0,0,1,3.0,1,1,0,1,0,0,0,0
18,1.3,88.3,34.5,37.6,53.8,39.4,75.0,0,1,1,2.0,1,0,0,1,0,0,0,5
17,7.8,86.8,100.0,95.5,63.0,87.6,45.0,1,0,1,3.0,0,0,0,0,1,0,0,1
16,7.9,77.6,92.3,100.0,99.0,100.0,22.5,0,1,0,0.0,1,0,0,0,0,0,0,0
15,4.7,69.7,51.8,50.2,59.2,63.7,75.0,0,1,0,0.0,1,0,0,0,0,0,0,3
17,3.0,55.5,47.9,32.7,32.3,39.2,7.5,0,1,0,3.0,1,1,1,0,0,0,0,5
14,0.6,81.0,56.6,19.4,28.1,36.1,75.0,0,0,0,2.0,1,0,0,0,0,1,0,5
17,0.6,56.4,14.4,39.3,27.5,28.6,7.5,1,0,0,3.0,1,1,0,1,0,0,0,5
14,3.4,79.5,85.1,67.8,74.7,64.0,7.5,1,0,0,2.0,0,0,0,0,0,1,0,3
17,6.4,77.0,72.7,86.0,73.9,82.2,22.5,0,1,1,0.0,1,0,0,0,1,0,0,2
17,7.6,79.8,77.5,95.8,100.0,95.8,7.5,0,0,0,4.0,0,1,0,1,0,0,0,0
